clinicalPhase,odds_ratio,p_value,ci_low,ci_high,no_evid-low_clinphase,no_evid-high_clinphase,yes_evid-low_clinphase,yes_evid-high_clinphase,total_indirect_assoc,datasource
2+,2.6188745547318764,0.07103675829772613,0.9474971887030035,7.238548056074399,6159,31161,4,53,7148,Rare
3+,3.4341009426082807,1.3174184423009612e-05,1.9037943217061066,6.194497561824121,20558,16762,15,42,7148,Rare
4+,5.64224636483807,2.6238027997269006e-09,3.3407167975363445,9.529375272098944,32781,4539,32,25,7148,Rare
2+,1.8256771358008643,2.7956659310927452e-05,1.3536296476031553,2.462340426783571,6115,30773,48,441,91146,Common
3+,2.343775351820449,6.193913187027735e-20,1.943050562317227,2.8271435681271906,20404,16484,169,320,91146,Common
4+,3.9776295049156247,2.136032574958645e-39,3.2942183689739313,4.80281957850394,32495,4393,318,171,91146,Common
2+,4.447447784657833,0.017767616393264348,1.0786107683500474,18.338210944727585,6161,31169,2,45,5435,Big effect
3+,3.576217027451448,5.050103926619251e-05,1.8558186611141139,6.891475172340266,20561,16769,12,35,5435,Big effect
4+,5.3446139801773604,1.8654515629112013e-07,2.995219700580208,9.536829165344345,32786,4544,27,20,5435,Big effect
2+,1.8214780875630945,2.7890900604411928e-05,1.3504716311652245,2.456758325689399,6115,30774,48,440,92407,Small effect
3+,2.3363093219046185,8.854098304398194e-20,1.9366667943076212,2.818420424030574,20404,16485,169,319,92407,Small effect
4+,4.027377164464735,3.912707762229092e-40,3.335896294361294,4.8621915652079695,32497,4392,316,172,92407,Small effect
2+,2.96353899435608,0.15224789866535882,0.7080374621915174,12.404094189995622,6161,31184,2,30,5525,Rare_no_VEP
3+,3.6766984505363527,0.001008357112234502,1.651342836958887,8.1861326392231,20565,16780,8,24,5525,Rare_no_VEP
4+,3.7726250614456194,0.000979407561144478,1.8177748343243305,7.829737537068436,32792,4553,21,11,5525,Rare_no_VEP
2+,1.8615822044829957,3.722617958700946e-05,1.3577017556180149,2.5524665411295047,6120,30811,43,403,81750,Common_no_VEP
3+,2.416699059192678,1.593672892001479e-19,1.9841918648005503,2.943482657252932,20422,16509,151,295,81750,Common_no_VEP
4+,4.0092460641806875,1.1670672846402162e-36,3.292837321380356,4.8815208388157165,32524,4407,289,157,81750,Common_no_VEP
2+,5.532482524209581,0.07492986533530746,0.752583393306913,40.671058055358856,6162,31186,1,28,4203,Big_effect_no_VEP
3+,5.88357568533969,4.174287665136502e-05,2.2443607730974215,15.423751502012998,20568,16780,5,24,4203,Big_effect_no_VEP
4+,5.8553202592836735,1.3280984192166324e-05,2.814661560080768,12.180780746440439,32797,4551,16,13,4203,Big_effect_no_VEP
2+,1.8569026262797037,4.721123458383912e-05,1.3542379545065648,2.5461458615969885,6120,30812,43,402,82693,Small_effect_no_VEP
3+,2.3841175261149665,5.688373164038194e-19,1.9578311995764144,2.903220859672841,20421,16511,152,293,82693,Small_effect_no_VEP
4+,3.9828057197043436,3.44950766176705e-36,3.2698215931841914,4.851255932120232,32524,4408,289,156,82693,Small_effect_no_VEP
