clinicalPhase,odds_ratio,p_value,ci_low,ci_high,no_evid-low_clinphase,no_evid-high_clinphase,yes_evid-low_clinphase,yes_evid-high_clinphase,total_indirect_assoc,datasource
2+,1.5062168192947907,0.004694138678189983,1.1265506297797447,2.01383679237752,6111,30819,52,395,475428,eQTL_coloc
3+,1.812090554550745,7.085542190898856e-10,1.4985757454040758,2.1911953319427426,20392,16538,181,266,475428,eQTL_coloc
4+,3.1751936537158936,2.575595582205931e-24,2.588371669945183,3.8950568249772264,32501,4429,312,135,475428,eQTL_coloc
2+,2.2743557611978664,0.020942845465082335,1.1037506363677465,4.686469894609868,6155,31122,8,92,40429,pQTL_coloc
3+,2.278630742577215,7.10243854557066e-05,1.5100466255486065,3.4384091015280123,20538,16739,35,65,40429,pQTL_coloc
4+,3.8934728331946262,3.1273357573112898e-09,2.578481652794629,5.879091940171344,32748,4529,65,35,40429,pQTL_coloc
2+,1.73872371257528,0.004566228756844947,1.1666091817669753,2.5914078132769465,6136,30977,27,237,281879,sQTL_coloc
3+,1.922537770624578,2.0440675325680852e-07,1.5000524022185777,2.4640149064202785,20470,16643,103,161,281879,sQTL_coloc
4+,3.3992708333333335,3.523711274330096e-17,2.6187458227975777,4.412433653452694,32633,4480,180,84,281879,sQTL_coloc
2+,3.1558333064715427,9.804995759945165e-06,1.7599844637551636,5.65873396233603,6151,31023,12,191,121530,VEP
3+,2.735104283352003,7.243858663503885e-12,2.0301638919370903,3.6848234127899087,20510,16664,63,140,121530,VEP
4+,5.258201172325845,1.9359250932922008e-26,3.971749611482385,6.961334996726923,32695,4479,118,85,121530,VEP
2+,1.6921329770682638,6.290036998319585e-07,1.3593600104841002,2.106369166371322,6072,30442,91,772,657548,distance
3+,2.009434707222182,1.6292623629077395e-23,1.7489585169579132,2.3087041821965992,20243,16271,330,533,657548,distance
4+,3.282964814384252,4.1153941101206293e-47,2.830204472177435,3.808155233460222,32213,4301,600,263,657548,distance
2+,1.5221243808475509,1.39180311569454e-05,1.2508016948652774,1.852302119737763,6048,30336,115,878,911508,sum_coloc_vep_distance
3+,1.9178529631181271,1.4420027215336655e-23,1.685789131286607,2.1818624404902773,20182,16202,391,602,911508,sum_coloc_vep_distance
4+,3.0674601437016102,8.563771997558955e-47,2.6647654222738666,3.5310093918769248,32108,4276,705,288,911508,sum_coloc_vep_distance
2+,1.0051759653146135,1.0,0.5263346009613812,1.9196509585359744,6152,31158,11,56,171917,eQTLs_not_in_L2G
3+,1.3397768948655258,0.2686315735705016,0.8291818998131605,2.1647869163810474,20541,16769,32,35,171917,eQTLs_not_in_L2G
4+,2.077443055954817,0.02238579180511558,1.1686618128899127,3.692915780368218,32761,4549,52,15,171917,eQTLs_not_in_L2G
