clinicalPhase,odds_ratio,p_value,ci_low,ci_high,no_evid-low_clinphase,no_evid-high_clinphase,yes_evid-low_clinphase,yes_evid-high_clinphase,total_indirect_assoc,datasource
2+,1.7129219242007188,0.00011311954579485033,1.2871991032044112,2.2794465216012108,6110,30757,53,457,253305,L2G_24.09
3+,2.0132617536277557,1.0292767566059523e-14,1.681708555913935,2.4101815230508574,20379,16488,194,316,253305,L2G_24.09
4+,3.7967788172056816,7.010254602770454e-38,3.152345218573797,4.572953908044289,32476,4391,337,173,253305,L2G_24.09
2+,1.6795081064479995,1.2510452716061267e-05,1.3156544976688458,2.1439880186040576,6090,30598,73,616,438184,new_L2G_05
3+,2.046806106870229,4.581406237733338e-20,1.7521881524821528,2.390961971285178,20313,16375,260,429,438184,new_L2G_05
4+,3.4684606909384716,1.4462763735537692e-42,2.945428189363348,4.084370349964534,32343,4345,470,219,438184,new_L2G_05
2+,1.504502355650795,0.00525717125655388,1.122092957467094,2.0172369170449684,6112,30827,51,387,213202,new_L2G_08
3+,2.1461689156480697,5.559733611297199e-15,1.7649280509965564,2.6097613508342374,20413,16526,160,278,213202,new_L2G_08
4+,3.958830197234187,2.606591622325747e-35,3.244656097171692,4.830199583923413,32528,4411,285,153,213202,new_L2G_08
2+,1.3511535757041386,0.0008401272533724411,1.1276339657512697,1.6189792437848298,6025,30277,138,937,922083,new_L2G_005
3+,1.8623865750844226,2.2218181484659473e-23,1.6456537949715024,2.1076630854272413,20142,16160,431,644,922083,new_L2G_005
4+,3.009080326031634,2.2490544768967787e-48,2.626050812743919,3.4479776113127363,32045,4257,768,307,922083,new_L2G_005
